Country,Total,Most people can be trusted,Need to be very careful No answer,Need to be very careful,No answer,Don't know
Argentina,"1,280",15,82.6 -,82.6, -,2.4
Canada,"1,931",38.4,60.5 0.3,60.5, 0.3,0.8
Chile,"1,200",22.2,75.2 -,75.2, -,2.6
China,"1,000",52.5,43.8 3.6,43.8, 3.6,0.1
India,"2,002",38.9,55.9 -,55.9, -,5.2
Iraq,"2,325",46.1,50.7 0.8,50.7, 0.8,2.5
Japan,"1,362",39.6,52.4 -,52.4, -,7.9
Jordan,"1,223",27.1,70.9 1.1,70.9, 1.1,0.9
South Korea,"1,200",27.3,72.7 -,72.7, -,-
Mexico,"1,535",20.8,76.6 -,76.6, -,2.6
Moldova,"1,008",14.1,82.1 -,82.1, -,3.8
Morocco,"1,251",23,73.4 -,73.4, -,3.5
Nigeria,"2,022",25.3,73.6 -,73.6, -,1
Peru,"1,501",10.6,88.7 -,88.7, -,0.7
Philippines,"1,200",8.3,90.7 -,90.7, -,1
South Africa,"3,000",11.5,86.5 -,86.5, -,2
Spain,"1,209",32.7,63.5 -,63.5, -,3.8
Sweden,"1,014",63.7,32.4 -,32.4, -,3.9
Turkey,"3,401",18.6,79.8 0.9,79.8, 0.9,0.7
Egypt,"3,000",37.5,61.4 -,61.4, -,1.2
United States,"1,200",35.5,63.6 -,63.6, -,0.9
Serbia,"1,200",18.3,79.0 -,79.0, -,2.7
Montenegro,82,32.9,64.7 -,64.7, -,2.4
