,,,,Thinking about meaning and purpose of life,,,,,,
,,Often,Sometimes,Rarely Never Inappropriate,No answer,Don'Åt know,Rarely,,Never,Inappropriate
Argentina,"1,030",23,38.1,23.4 14.6 -,0.2,0.8,23.4,14.6 -,14.6,-
Australia,"1,477",38,39.9,17.7 3.8 -,0.6,-,17.7,3.8 -,3.8,-
Chile,"1,000",30.1,49.6,14.1 4.7 -,1,0.5,14.1,4.7 -,4.7,-
China,"2,300",9.6,40.5,32.3 11.0 -,6.3,0.2,32.3,11.0 -,11.0,-
Georgia,"1,202",76.1,19.1,4.3 0.4 -,-,0.1,4.3,0.4 -,0.4,-
Germany,"2,046",28.9,41,19.0 10.7 -,0.2,0.3,19.0,10.7 -,10.7,-
India,"1,581",31.1,35.3,23.6 7.2 -,-,2.9,23.6,7.2 -,7.2,-
Iraq,"1,200",31.5,41.4,18.7 5.7 -,-,2.8,18.7,5.7 -,5.7,-
Japan,"2,443",20.8,58.5,14.3 1.1 -,-,5.3,14.3,1.1 -,1.1,-
Jordan,"1,200",53.2,34.2,7.8 4.0 -,-,0.8,7.8,4.0 -,4.0,-
South Korea,"1,200",38,51.8,6.5 3.5 -,0.2,-,6.5,3.5 -,3.5,-
Mexico,"2,000",51.7,29,15.7 3.4 -,0,0,15.7,3.4 -,3.4,-
Morocco,"1,200",57.8,24,8.9 2.6 -,2.8,3.9,8.9,2.6 -,2.6,-
New Zealand,841,39.2,36.9,14.9 6.2 -,1.7,1.2,14.9,6.2 -,6.2,-
Nigeria,"1,759",55.9,36.5,7.0 0.6 -,-,-,7.0,0.6 -,0.6,-
Peru,"1,210",41.4,31.9,19.2 5.8 -,0.6,1.1,19.2,5.8 -,5.8,-
Philippines,"1,200",57.2,34.8,7.6 0.3 -,0.1,-,7.6,0.3 -,0.3,-
Poland,966,25.5,44.5,22.0 6.8 -,-,1.2,22.0,6.8 -,6.8,-
Romania,"1,503",53.4,29.4,12.5 3.7 -,0.3,0.7,12.5,3.7 -,3.7,-
Russia,"2,500",25.1,46,20.5 6.7 0.1,0.3,1.3,20.5,6.7 0.1,6.7,0.1
South Africa,"3,531",33.2,40.1,17.2 7.1 -,-,2.4,17.2,7.1 -,7.1,-
Spain,"1,189",20.3,44.6,24.7 9.9 -,0.3,0.2,24.7,9.9 -,9.9,-
Sweden,"1,206",27.7,41.3,24.2 6.0 0.1,0.2,0.5,24.2,6.0 0.1,6.0,0.1
Turkey,"1,605",32.1,56.4,8.6 1.4 -,0.7,0.9,8.6,1.4 -,1.4,-
Egypt,"1,523",53.5,28.4,11.2 6.9 -,-,-,11.2,6.9 -,6.9,-
United States,"2,232",36.1,41.7,17.5 3.0 -,1.7,-,17.5,3.0 -,3.0,-
Uruguay,"1,000",36.4,34.3,14.8 12.8 -,0.5,1.2,14.8,12.8 -,12.8,-
