Country,Total,Very happy,Quite happy,No answer,Not very happy,DK,Not at all happy
Argentina,"1,079",29.3,52.5,-,15.1,1,2.1
Australia,"2,048",43.2,50.9,-,4.5,0.3,1
Chile,"1,000",27.5,52.5,-,18.9,0.4,0.7
China,"1,500",22.7,60.9,-,14.1,0.6,1.7
Georgia,"2,008",11.6,53.6,-,29.1,0.4,5.2
Germany,"2,026",17.9,62.6,-,15.3,1.2,3
India,"2,040",29.9,46,-,19.8,1.5,2.8
Japan,"1,054",32.5,56.5,-,8.9,1.4,0.6
South Korea,"1,249",11.9,76.9,-,10.1,0.1,1
Mexico,"2,364",27.5,38.7,-,29.3,1.5,3.1
Moldova,984,3.6,39.8,-,47.7,1.1,7.8
New Zealand,"1,201",32.8,61.5,0.7,4.3,0.1,0.6
Nigeria,"1,996",46.2,38,0.4,12.5,0.1,2.9
Peru,"1,211",28.2,34.7,-,35.1,0.8,1.2
Philippines,"1,200",40.2,52.2,-,6.3,0.1,1.1
Poland,"1,153",18.3,67,-,11.5,0.7,2.5
Romania,"1,239",5.1,51,-,35.2,1.6,7.1
Russia,"2,040",6.1,44.1,-,40.3,1.9,7.6
South Africa,"2,935",41.2,37.1,-,17.1,0.3,4.3
Spain,"1,211",18.7,67.8,-,12.2,0.3,0.9
Sweden,"1,009",39.2,54.7,-,4.1,1.2,0.8
Turkey,"1,907",49.1,40.7,-,7.8,0.1,2.3
United States,"1,542",46.5,46.8,-,5.8,0.4,0.6
Uruguay,"1,000",21.1,59.2,-,16.7,0.9,2.1
Serbia,"1,280",13.9,56,-,24.5,1.1,4.5
Montenegro,240,13.8,55.4,-,27.5,1.7,1.7
