Country,Total,Very happy,Quite happy,No answer,Don'Åt know,Not very happy,Not asked
Albania,"1,000",9.7,49.1,-,0.7,30.6,9.9
Algeria,"1,282",16.1,64.6,-,3.5,11.9,3.8
Argentina,"1,280",33,48.4,-,0.7,15.5,2.4
Bangladesh,"1,500",14.8,62.6,-,0.1,20.4,2.1
Bosnia,"1,200",21.7,60.2,-,0.8,15,2.3
Canada,"1,931",44,51.6,-,-,4,0.4
Chile,"1,200",36,43.9,-,0.6,18.9,0.6
China,"1,000",11.5,66.3,0.4,-,19,2.8
India,"2,002",25.3,47.6,-,1.7,20.9,4.5
Iraq,"2,325",13.2,49,0.3,0.9,26.2,10.4
Japan,"1,362",27.8,58.7,-,3,9.9,0.6
Jordan,"1,223",12.8,70.1,0.1,0.3,12.4,4.3
South Korea,"1,200",9.6,78.1,-,-,10.7,1.7
Mexico,"1,535",56.5,34.5,-,0.8,7.2,1
Moldova,"1,008",6,43.4,-,2.9,43.6,4.1
Morocco,"1,251",22.3,57.6,-,0.1,15.4,4.5
Nigeria,"2,022",66.8,25,-,-,7.3,0.9
Peru,"1,501",30.8,35.3,-,0.2,32.1,1.6
Philippines,"1,200",38.4,49.2,-,0.1,11.7,0.6
South Africa,"3,000",38.5,38.8,-,0.1,18.4,4.2
Spain,"1,209",20.1,66.9,-,0.6,11,1.4
Sweden,"1,014",36.6,56.8,-,0.3,4.8,1.5
Turkey,"3,401",34.5,42.5,-,0.1,14,8.9
Egypt,"3,000",18.1,71.3,-,0.2,8.8,1.6
United States,"1,200",39,54,-,0.7,5.8,0.5
Serbia,"1,200",12,61.5,-,1.9,20.8,3.8
Montenegro,82,8.1,57.2,-,5.8,26.8,2.1
