Country,Total,Very happy,Quite happy,Not very happy,No answer,Don't know,Not at all happy,Not asked
Argentina,"1,002",32.4,55.2,9.9,0.4,0.7,1.4,-
Australia,"1,421",35.2,56.4,7.1,0.6,-,0.8,-
Canada,"2,164",46.2,49,3.8,0.1,0.3,0.6,-
Chile,"1,000",30.5,49,18.6,-,0.1,1.8,-
China,"1,991",18.8,58,19,0.1,0.6,3.5,-
Georgia,"1,500",12.1,54,28.7,0.1,1.2,3.9,-
Germany,"2,064",19.3,61.9,14.1,0.6,2.6,1.5,-
India,"2,001",28.9,46.4,21.6,-,0.3,2.7,-
Iraq,"2,701",6.2,46,28.4,1.4,1,17.1,-
Japan,"1,096",28.4,58.9,8.9,2.7,-,1.1,-
Jordan,"1,200",29.8,57.1,10.9,-,-,2.2,-
South Korea,"1,200",12.9,74.5,11.7,-,-,0.9,-
Mexico,"1,560",58.3,32.4,8.3,0.3,0.1,0.7,-
Moldova,"1,046",9.7,40.5,34,-,3,12.8,-
Morocco,"1,200",24.6,56.2,16.3,0.1,-,2.8,-
New Zealand,954,38.1,58.4,2.5,0.4,0.5,0.1,-
Peru,"1,500",27.9,39.5,30.4,0.5,-,1.8,-
Poland,"1,000",21.3,66.4,7.2,-,3.9,1.2,-
Romania,"1,776",7.3,48,36.5,0.1,0.6,7.4,-
Russia,"2,033",10.5,55.2,25.9,0.6,3.8,3.9,0.2
South Africa,"2,988",42.7,35.1,15.7,-,0.3,6.1,-
Spain,"1,200",13.6,78.4,6.3,0.2,0.1,1.2,0.2
Sweden,"1,003",43,53.1,3.2,0.2,-,0.5,-
Turkey,"1,346",37.3,48.8,9.4,-,0.1,4.3,-
Egypt,"3,051",9.6,73.5,14.8,-,-,2,-
United States,"1,249",34.4,58.8,6.4,-,-,0.4,-
Uruguay,"1,000",30.3,55.6,11.9,0.5,-,1.7,-
Serbia and Montenegro,"1,220",10.2,52,30.1,0.5,2,5.2,-
