Country,Total,A great deal,Quite a lot,No answer,Don'Åt know,Not very much,None at all
Argentina,"1,280",7.9,24.3,-,1.6,45.6,20.6
Canada,"1,931",5.3,31.9,0.3,1.5,47.9,13.1
Chile,"1,200",8.3,44,-,0.9,38.1,8.8
China,"1,000",11.5,59.7,4.4,-,22.7,1.7
India,"2,002",24.8,37.1,0.1,13.8,18.7,5.6
Iraq,"2,325",18,32.8,0.9,7.8,28.9,11.5
Japan,"1,362",8.1,57,-,4.1,28.4,2.3
Jordan,"1,223",19.6,36.3,-,4.5,28.2,11.4
South Korea,"1,200",7.2,55.3,-,1.2,32.3,3.8
Mexico,"1,535",13.9,31.4,-,3.3,33.6,17.7
Moldova,"1,008",5.8,42.4,-,2.3,41.2,8.3
Morocco,"1,251",10.2,17.1,-,8,38,26.7
Nigeria,"2,022",35.1,36.4,-,1.3,22.4,4.8
Peru,"1,501",7.5,17.6,-,0.7,62.2,12
Philippines,"1,200",22,49.1,-,0.3,25.5,3.1
South Africa,"3,000",29.5,44.4,-,3.7,16,6.5
Spain,"1,209",3,35,-,1.6,48.3,12.1
Turkey,"3,401",7.1,29.8,0.2,1.4,28.6,33
Egypt,"3,000",23.1,43.9,-,1.7,22.4,9
United States,"1,200",6.1,18.3,-,0.9,56.8,17.9
Serbia,"1,200",1.9,26.5,-,2,50.9,18.7
Montenegro,82,4.3,32,-,1.9,44.1,17.7
