Country,Total,A great deal,Quite a lot,No answer,Don'Åt know,Not very much,None at all,Not asked
Argentina,"1,002",2.3,30.2,0.7,1.2,46.7,18.9,-
Australia,"1,421",1.6,16.3,1.5,-,67.1,13.5,-
Canada,"2,164",4.7,27.2,0.3,1.3,53.4,13.1,-
Chile,"1,000",9.4,37.3,0.2,0.1,38,15,-
China,"1,991",14.4,52.3,0.7,10.4,18.9,3.3,-
Georgia,"1,500",3.9,28.3,0.5,3.3,51.1,12.9,-
Germany,"2,064",2.5,31,0.9,1.4,52.3,12.1,-
India,"2,001",22.3,29,10.4,21,13.3,3.9,-
Iraq,"2,701",29.5,37.3,1.3,4.1,21,6.8,-
Japan,"1,096",8.2,59.2,3.1,-,27.2,2.3,-
Jordan,"1,200",32.9,34,3.2,-,21.2,8.8,-
South Korea,"1,200",7.7,59.1,-,-,29.8,3.3,-
Mexico,"1,560",10.4,35.9,0.9,0.6,35.5,16.7,-
Moldova,"1,046",8.2,42.2,0.1,0.5,37.8,11.3,-
Morocco,"1,200",18.8,35.8,3.9,-,31.3,10.2,-
New Zealand,954,2.2,31.7,3.7,3.4,49.1,10.1,-
Peru,"1,500",5.6,12.9,2.1,-,57.2,22.1,-
Poland,"1,000",5,33,0.2,3.8,50.1,7.9,-
Romania,"1,776",8.6,43.9,0.6,2.3,36.1,8.4,-
Russia,"2,033",5.4,38.9,0.3,2.2,37.6,15.6,-
Rwanda,"1,507",8.6,40.3,1.5,12.9,32,3.1,1.7
South Africa,"2,988",28.4,42.8,-,4.2,19.6,5.1,-
Spain,"1,200",2.8,31.1,-,1.5,50.8,13.7,0.2
Sweden,"1,003",2.6,51.7,1.2,-,40.8,3.7,-
Turkey,"1,346",5.5,27.2,0.4,1.9,40.7,24.2,0.1
Egypt,"3,051",21.9,59.4,-,1,13,4.7,-
United States,"1,249",2.3,22.2,1.1,-,58.3,13.9,2.2
