Country,,A great deal,Quite a lot,No answer,Don't know,Not very much,None at all,Not asked
Argentina,"1,030",5.5,29.2,0.5,1,44.7,19.1,-
Australia,"1,477",2.2,17,1.8,-,62.9,16,-
Chile,"1,000",10.7,45.5,0.7,0.4,32.7,10,-
China,"2,300",14.6,49.7,5.3,5.5,23.2,1.8,-
Georgia,"1,202",2.2,25.4,0.1,1.2,53.1,18.1,-
Germany,"2,046",5.2,42.2,-,0.7,42.5,9.3,-
India,"1,581",36.8,34.1,-,1.1,18.8,9.2,-
Iraq,"1,200",13.9,35,-,0.8,39.8,10.6,-
Japan,"2,443",5.3,61.3,-,4.4,25.9,3.1,-
Jordan,"1,200",13.7,26.8,-,0.4,39.5,19.7,-
South Korea,"1,200",11.1,52.1,0.2,-,30.5,6.1,-
Mexico,"2,000",7.9,25.8,-,0.1,39.1,27.1,-
Morocco,"1,200",14.7,29.1,3.2,4.6,33.2,15.3,-
New Zealand,841,3.4,31,4.4,2.4,49.9,8.8,-
Nigeria,"1,759",26.7,45.6,-,-,22.3,5.5,-
Peru,"1,210",7.2,27.4,0.4,0.7,40.6,23.7,-
Philippines,"1,200",26.4,49.6,-,-,21,3,-
Poland,966,3,26.9,0.2,2.5,55.9,11.4,-
Romania,"1,503",8.9,24.4,0.5,0.8,43.8,21.6,-
Russia,"2,500",4.8,36.3,0.2,1.5,38.9,18.3,0.1
South Africa,"3,531",29,35.3,-,1.9,23.9,10,-
Spain,"1,189",2.5,26.9,0.6,0.5,52.4,17.1,-
Sweden,"1,206",3.9,46.6,0.2,0.6,39.7,8.8,0.2
Turkey,"1,605",9.4,35.1,0.6,1.1,37.5,16.3,-
Egypt,"1,523",22.3,35.6,-,-,25.6,16.4,-
United States,"2,232",2.4,21.5,1.9,-,61,13.3,-
Uruguay,"1,000",8,34.3,0.7,1.4,33.2,22.4,-
