Country,Total,Great deal,Quite a lot,Not asked,Don't know,Not very much,None at all
Argentina,"1,079",7.1,26.4,-,14.1,30.5,21.9
Australia,"2,048",9.9,38.1,-,4.6,36.2,11.1
Chile,"1,000",18.7,34.6,-,15.7,18.8,12.2
China,"1,500",7.9,33.7,-,26.2,24.8,7.5
Georgia,"2,008",11.7,44.2,-,7.6,21.4,15.1
Germany,"2,026",4.1,33.5,-,7.2,42.8,12.3
India,"2,040",9.7,19.1,-,48,14.1,9.1
Japan,"1,054",5.5,41,-,23.1,26.9,3.4
South Korea,"1,249",20.7,60.3,0.2,0.2,16.3,2.2
Mexico,"2,364",12.2,37.7,-,1.4,24.3,24.4
Moldova,984,24.2,44,-,10.4,13.7,7.7
New Zealand,"1,201",8.6,39.2,3.2,11.7,28.3,9
Nigeria,"1,996",31.4,35,7.8,0.1,18,7.8
Peru,"1,211",17.3,27.3,-,14,29.1,12.2
Philippines,"1,200",27.8,45.8,-,1.6,21,3.9
Poland,"1,153",14,39.2,-,21.2,19.3,6.3
Romania,"1,239",15.3,25.9,-,21.9,19.1,17.8
Russia,"2,040",10.4,32.7,-,29.3,18.1,9.5
South Africa,"2,935",16.6,23.5,-,23.6,20.1,16.2
Spain,"1,211",6.2,38.1,-,11,33.2,11.6
Sweden,"1,009",8.5,54.5,-,4,29.3,3.7
Switzerland,"1,212",5.4,35.6,-,9,32.3,17.6
Turkey,"1,907",11.1,32,1.6,9.1,18.5,27.7
United States,"1,542",8.8,37.2,-,7.8,33.6,12.6
Uruguay,"1,000",16.7,40.1,-,-,22.8,20.4
Serbia,"1,280",5.3,14.9,-,11.2,29.5,39
Montenegro,240,13.8,28.7,-,8.8,23.8,25
