Country,Total,A great deal,Quite a lot,No answer,Don't know,Not very much,None at all,Not asked
Argentina,"1,002",2.4,16.9,1.2,13.2,35.7,30.7,-
Australia,"1,421",6.3,37.6,2,-,42.7,11.4,-
Canada,"2,164",11.3,43.1,0.5,8.2,27.8,9.1,-
Chile,"1,000",7.3,30.6,0.4,11.3,30.7,19.7,-
China,"1,991",5.2,24,0.7,54.2,12.5,3.4,-
Georgia,"1,500",7.1,36.5,0.7,14.3,28.7,12.7,-
Germany,"2,064",4.7,31.1,0.7,7.6,40.4,15.5,-
India,"2,001",12.9,12.7,2.9,57,9.6,4.8,-
Indonesia,"2,015",11.8,34.8,1.5,8.2,33.8,9.5,0.3
Iraq,"2,701",5.3,6.2,1.9,12.1,12.4,62.2,-
Japan,"1,096",5.3,46.9,18.5,-,24,5.3,-
Jordan,"1,200",17.6,14.5,16.9,-,19.7,31.2,-
South Korea,"1,200",6.2,49,1.1,-,36.1,7.6,-
Mexico,"1,560",15.2,35.8,0.8,3.1,26.8,18.3,-
Moldova,"1,046",11.7,33.1,0.1,7,33.8,14.3,-
Morocco,"1,200",2.9,13.2,27.6,-,28.7,27.6,-
New Zealand,954,4.9,37.3,3.9,13.4,29.9,10.6,-
Peru,"1,500",7.5,19.5,14.1,-,38.3,20.7,-
Poland,"1,000",6.4,34.3,0.3,16.5,33.3,9.3,-
Romania,"1,776",10.4,44.3,1,14.9,20.2,9.3,-
Russia,"2,033",7.4,27.4,1.6,22.4,24.2,16.8,0.3
Rwanda,"1,507",8.8,27.8,1.4,21.2,30.5,10,0.3
South Africa,"2,988",15.1,32.2,-,20.5,23.2,9,-
Spain,"1,200",5.6,50.8,0.4,4.8,31,6.9,0.5
Sweden,"1,003",13,64.2,1.3,-,18.4,3,-
Turkey,"1,346",6,22.3,0.5,9.9,26.5,34.8,-
Egypt,"3,051",7.2,25.9,0.1,7.7,24.5,34.7,-
United States,"1,249",4.2,28.3,2.2,-,44.2,18.8,2.2
Uruguay,"1,000",8.2,38.4,3.6,-,29.1,20.7,-
