Country,Total,A great deal,Quite a lot,No answer,Don'Åt know,None at all,Inappropriate
Argentina,"1,030",5,21.9,3.3,12,18.4,-
Australia,"1,477",12,42.4,1.7,-,9.7,-
Chile,"1,000",4.5,38.7,1,11.6,12.9,-
China,"2,300",8.2,23.4,5.4,47.3,3,-
Georgia,"1,202",5.5,41.3,0.3,9.7,15.1,-
Germany,"2,046",4.6,41.1,0.4,5.4,9.7,-
India,"1,581",27.4,31.3,-,0.8,13.3,-
Iraq,"1,200",3.1,13.5,-,9.6,48.4,-
Japan,"2,443",5.4,36.6,-,28.5,3.8,-
Jordan,"1,200",4.2,13,-,12.9,46.5,-
South Korea,"1,200",14.7,53.6,0.3,-,7.6,-
Mexico,"2,000",19.1,29.7,0.2,2.1,21.4,-
Morocco,"1,200",10.7,8.2,7.4,27.9,29.5,-
New Zealand,841,9.8,35.1,3.8,12.6,9.3,-
Nigeria,"1,759",17.5,37.6,-,-,11.7,-
Peru,"1,210",13.7,28.9,3,7.8,20.1,-
Philippines,"1,200",22,44.9,0.1,0.2,7.9,-
Poland,966,2.4,37.1,0.5,17.7,6.4,-
Romania,"1,503",11.4,31.8,0.8,9.6,15.8,-
Russia,"2,500",4.7,29.1,1.8,21.3,17.1,1.4
South Africa,"3,531",14.3,28.6,-,9.9,18.4,-
Spain,"1,189",4.8,40.4,1.4,4.7,11,-
Sweden,"1,206",11.6,51.9,0.4,2.8,8.6,-
Turkey,"1,605",8.8,29.3,0.9,6.1,21.2,-
Ukraine,"1,500",7.5,41.8,-,-,16,-
Egypt,"1,523",1.6,6.7,1.8,-,66.6,-
United States,"2,232",5,30.9,2.6,-,18.5,-
Uruguay,"1,000",8,32,1.5,13.9,19.4,-
