Country,Total,Often,Don't know,Sometimes,Rarely,Never
Argentina,"1,079",49.8,2.4,29.4,12.2,6.2
Australia,"2,048",44.2,1.2,35.1,15,4.5
Chile,"1,000",50.3,0.3,32.1,14,3.3
China,"1,500",24.9,2.6,39,22.1,11.4
Georgia,"2,008",72.1,-,19.3,6.4,1.1
Germany,"2,026",43.8,-,39.9,13.3,2.6
India,"2,040",22.6,10.2,41.7,18,7.4
Japan,"1,054",24.8,2.5,57.5,14.1,1.1
Mexico,"2,364",33.3,3.8,31.3,26.3,5.2
Moldova,984,48.8,-,30.5,16,3.7
New Zealand,"1,201",43,0.9,40,12.2,2.3
Nigeria,"1,996",50.4,0.1,34.9,10.9,2
Peru,"1,211",39.6,3.7,37.3,15.7,3.6
Philippines,"1,200",43,0.1,39.4,15.8,1.7
Romania,"1,239",51.9,-,28.4,14.6,2.6
Russia,"2,040",44.1,-,34.2,15,4.9
South Africa,"2,935",49.6,2.4,32.7,11.8,3.6
Spain,"1,211",23.9,2.1,46.1,18.1,9.8
Sweden,"1,009",28,0.5,44.5,21.9,5.1
Turkey,"1,907",48.1,1.3,37.9,4.8,6.4
United States,"1,542",44.9,1.4,38.1,11.9,3.6
Uruguay,"1,000",41.8,2.2,39,14.1,2.9
Serbia,"1,280",42.6,-,36.5,15.5,3.8
