Country,Total,Often,Don't know,Sometimes,Rarely,Never,No answer
Argentina,"1,280",50.3,2.1,25.4,14.4,7.9,-
Canada,"1,931",51.4,0.3,32.1,11.9,4.2,-
Chile,"1,200",50.3,0.2,29.2,15,5.2,-
China,"1,000",31.7,0.3,37.1,17.1,12.3,1.5
India,"2,002",31.8,12.1,31.4,15.5,9,-
Iraq,"2,325",48.1,3.1,31.2,9.8,7.2,0.6
Japan,"1,362",25,3.4,58.4,12.6,0.7,-
Jordan,"1,223",59.6,0.7,29.3,6,4.2,0.2
South Korea,"1,200",41.3,0.2,50.2,6.7,1.7,-
Mexico,"1,535",42.5,3.6,30.6,17.2,6.1,-
Moldova,"1,008",54.7,4.4,30,9.1,1.8,-
Morocco,"1,251",71.4,1.1,20.5,4.7,2.3,-
Nigeria,"2,022",55.5,0.4,38.3,5.1,0.7,-
Peru,"1,501",53.2,0.8,30.6,12.9,2.4,-
Philippines,"1,200",63.7,-,23.1,12.6,0.5,-
South Africa,"3,000",55.5,1.4,32.8,8.2,2.2,-
Spain,"1,209",21.8,1.6,46.7,23.2,6.7,-
Sweden,"1,014",36.6,0.2,37.7,22,3.5,-
Egypt,"3,000",51.2,1,35.1,7.7,5,-
United States,"1,200",57.8,0.5,31,8.9,1.8,-
Serbia,"1,200",38.1,1.1,40.7,15.8,4.3,-
