Country,Total,Most people can be trusted,Need to be very careful,Missing/Not asked by interviewer,No answer,Don't know
Argentina,"1,002",17.4,81.3, -,0.2,1.1
Australia,"1,421",45.6,53.2, -,1.2,-
Canada,"2,164",41.8,55.9, -,0.1,2.2
Chile,"1,000",12.4,86.1, -,0.8,0.7
China,"1,991",49.3,44.4, -,0.8,5.5
Georgia,"1,500",17.6,79.4, -,0.3,2.7
Germany,"2,064",33.8,57.9, -,1.7,6.6
India,"2,001",20.7,68.2, -,-,11.1
Iraq,"2,701",38.6,56, -,1.3,4.1
Japan,"1,096",36.6,57, -,-,6.4
Jordan,"1,200",30.7,68.7, -,0.6,-
South Korea,"1,200",28,71.1, -,0.9,-
Mexico,"1,560",15.4,83.8, -,0.3,0.4
Moldova,"1,046",17.6,80.9, -,-,1.5
Morocco,"1,200",12.8,85.3, -,1.9,-
New Zealand,954,48.5,46.3, -,5.1,-
Peru,"1,500",6.2,92.4, -,1.4,-
Poland,"1,000",18.1,77.3, -,0.2,4.4
Romania,"1,776",19.3,75.6, -,2.1,3
Russia,"2,033",24.6,69.1,0.2,0.6,5.5
Spain,"1,200",19.8,78.9,0.2,0.1,1
Sweden,"1,003",65.2,30.7, -,4.1,-
Turkey,"1,346",4.8,94.6,0.2,-,0.3
Egypt,"3,051",18.5,81.3, -,0.1,0.1
United States,"1,249",39.1,60.3,0.4,0.2,-
Uruguay,"1,000",24.6,61.9, -,13.5,-
Serbia and Montenegro,"1,220",13.6,75.4, -,1.1,9.9
