Country,Total,Most people can be trusted,Need to be very careful,Inappropriate,No answer,Don't know
Argentina,"1,030",19.2,77.5,-,0.8,2.5
Australia,"1,477",51.4,47.8,-,0.7,-
Chile,"1,000",12.4,84.7,-,1.9,1
China,"2,300",60.3,35.2,-,1.8,2.6
Georgia,"1,202",8.8,90.4,-,-,0.7
Germany,"2,046",44.6,53.8,0.2,0.1,1.3
India,"1,581",32.1,64.6,-,-,3.2
Iraq,"1,200",30,63.8,-,-,6.2
Japan,"2,443",35.9,56.8,-,-,7.3
Jordan,"1,200",13.2,86.8,-,-,-
South Korea,"1,200",26.5,73,-,0.5,-
Mexico,"2,000",12.4,87.4,-,0,0.2
Morocco,"1,200",12.3,86.1,-,0.9,0.7
New Zealand,841,55.3,42.1,-,1.7,1
Nigeria,"1,759",15,85,-,-,-
Peru,"1,210",8.4,90.5,-,0.4,0.7
Philippines,"1,200",3.2,96.4,-,-,0.5
Poland,966,22.2,75.6,-,-,2.2
Romania,"1,503",7.7,91.4,-,0.2,0.7
Russia,"2,500",27.8,66.2,0.6,0.4,5
South Africa,"3,531",23.3,76.2,-,-,0.6
Spain,"1,189",19,78,-,0.5,2.5
Sweden,"1,206",60.1,37.2,0.3,0.8,1.6
Turkey,"1,605",11.6,82.9,-,2.1,3.4
Egypt,"1,523",21.5,78.5,-,-,-
United States,"2,232",34.8,64.3,-,0.9,-
Uruguay,"1,000",13.8,76.7,-,4.4,5.1
