Country,Total,Yes,No,No answer,Don't know
Argentina,"1,079",58.5,28.8, -,12.7
Australia,"2,048",68.6,23.3, -,8.1
Chile,"1,000",69.4,24.4, -,6.2
China,"1,500",89.3,6.3,-,4.5
Georgia,"2,008",65.1,24.8, -,10.2
Germany,"2,026",42.9,43.7, -,13.3
India,"2,040",81.5,5.6,-,12.9
Japan,"1,054",17.2,53.8, -,29
South Korea,"1,249",81.6,17.6,0.1,0.7
Mexico,"2,364",56.4,22.6, -,21
Moldova,984,72,18.3, -,9.8
Nigeria,"1,996",55.5,27.7, -,16.8
Peru,"1,211",85.1,9.7,-,5.1
Philippines,"1,200",84.2,11.4, -,4.3
Poland,"1,153",72.2,15.3, -,12.5
Romania,"1,239",70.5,11.3, -,18.2
Russia,"2,040",68.9,15, -,16.2
South Africa,"2,935",62.2,26.1,-,11.7
Spain,"1,211",50.4,35.3, -,14.4
Sweden,"1,009",85.4,7.3,-,7.2
Turkey,"1,907",94.7,3.7,0.8,0.9
United States,"1,542",68.5,20, -,11.5
Uruguay,"1,000",47.3,36.6, -,16.1
Serbia,"1,280",70.8,14.2, -,15
Montenegro,240,76.7,8.8,-,14.6
