Country,Total,Yes,No,No answer,Don't know,Inappropriate,Not Applicable
Argentina,"1,030",42.8,44.3,2.4,10.5,- ,-
Australia,"1,477",63.6,34.2,2.2,-,- ,-
Chile,"1,000",41.3,46.6,1.4,10.7,- ,-
China,"2,300",74.2,19.5,3.1,3.3,- ,-
Georgia,"1,202",77.4,20.1,0.1,2.4,- ,-
Germany,"2,046",40.9,53.4,0.7,3.1,1.8,-
Hong Kong,"1,000",42.5,52.5,5,-,- ,-
Iraq,"1,200",64.1,25.4,10.5,-,- ,-
Japan,"2,443",15.2,38.7,-,46.1,- ,-
Jordan,"1,200",79.8,13.1,7.1,-,- ,-
South Korea,"1,200",63,30.3,6.7,-,- ,-
Mexico,"2,000",71.8,26.5,0.5,1.3,- ,-
Morocco,"1,200",70.8,21.8,2.4,5,- ,-
New Zealand,841,43.9,29.3,2.6,24.3,- ,-
Nigeria,"1,759",59.6,40.4,-,-,- ,-
Peru,"1,210",57.2,29.8,4.6,8.3,- ,-
Philippines,"1,200",82.5,17.2,0.3,0.1,- ,-
Poland,966,71.4,20.3,1,7.3,- ,-
Romania,"1,503",65.1,22.6,2.9,9.5,- ,-
Russia,"2,500",52.7,21.5,2.9,17.8,5.1,-
South Africa,"3,531",47.2,36.3,-,16.5,- ,-
Spain,"1,189",28.1,58.9,1.3,11.7,- ,-
Sweden,"1,206",69.4,22,1.7,6.8,- ,-
Turkey,"1,605",77.5,13,3.9,5.6,- ,-
Egypt,"1,523",65.4,34.6,-,-,- ,-
United States,"2,232",57.7,40.6,1.7,-,- ,-
Uruguay,"1,000",49.4,38.2,3.9,8.5,- ,-
