Country,Total,Very,Somewhat,Not very,Not at all,No Answer,Don't know
Argentina,"1,079",7.8,17.4,33.3,41.1,-,0.5
Australia,"2,048",16.7,39.7,26.7,16.8,-,0.1
Chile,"1,000",3.9,16.2,31.2,47.5,-,1.2
Georgia,"2,008",10.1,39.4,29,21.2,-,0.2
Germany,"2,026",26.9,49.6,16,7.1,-,0.4
India,"2,040",9.3,28.3,30.5,28.5,-,3.3
Japan,"1,054",11.6,39.5,39.6,7,-,2.4
South Korea,"1,249",9,52.8,30.4,7.6,-,0.2
Mexico,"2,364",9.3,33.4,34.5,19,-,3.8
Moldova,984,6.3,28.3,48.6,16.4,-,0.5
Nigeria,"1,996",13.7,22.9,34.1,28.2,1,0.1
Peru,"1,211",7.2,24.8,32,33.2,-,2.9
Philippines,"1,200",9.1,40.3,29.9,20.6,-,0.1
Poland,"1,153",5.1,36.9,28.9,28.9,-,0.3
Romania,"1,239",8.6,30.6,36.2,23.6,-,1
Russia,"2,040",9.6,25.1,46.3,18.5,-,0.4
South Africa,"2,935",17,31.6,28.3,21.9,*,1.2
Spain,"1,211",6.3,19.6,27.3,45.9,-,1
Sweden,"1,009",10.2,41,36.8,12,-,-
Turkey,"1,907",15.2,46.3,17.6,19.8,0.7,0.5
United States,"1,542",18.4,45.7,23,12.8,-,0.3
Uruguay,"1,000",12.5,25.5,27.1,34,-,0.9
Serbia,"1,280",7.5,29.2,35.2,27.9,-,0.2
Montenegro,240,10,28.7,34.2,26.7,-,0.4
