Country,Total,Very interested,Somewhat interested,Not very,Not at all,No answer,Don't Know
Argentina,"1,280",6.1,12.1,31.8,49,-,1.1
Canada,"1,931",11.5,36.9,29.5,22,0.1,0.1
Chile,"1,200",5.6,19.3,31.5,42.9,-,0.6
China,"1,000",24.7,42.8,19.7,8.4,4.4,-
India,"2,002",11.6,29.8,24.3,26.8,-,7.4
Iraq,"2,325",17.2,34.4,20.6,24.8,1.5,1.6
Japan,"1,362",15.6,46.9,30.5,5.2,-,1.7
Jordan,"1,223",7.2,43.1,25.4,23.9,0.2,0.3
South Korea,"1,200",8,41.8,40.7,9.5,-,-
Mexico,"1,535",7.3,26.1,34.8,30.1,-,1.6
Moldova,"1,008",8.3,39.1,42.8,9.2,-,0.5
Morocco,"1,251",4.2,15,20,57.7,-,3.1
Nigeria,"2,022",25.3,27.3,26.8,20.6,-,0.1
Peru,"1,501",12.4,35,33.3,18.9,-,0.4
Philippines,"1,200",12,37.7,38,12,-,0.3
South Africa,"3,000",17.1,33.4,30.4,17.1,-,2
Spain,"1,209",6.2,23.3,30,39.6,-,0.9
Turkey,"3,401",8.4,31.8,25.8,33.9,0.1,0.1
Egypt,"3,000",11.9,30.5,22,35,-,0.6
United States,"1,200",18.3,47.1,23.4,11.1,-,0.1
Serbia,"1,200",8.2,29.8,38.4,23.2,-,0.3
Montenegro,82,8.2,36.7,36.7,17.8,-,0.6
