Country,Total,Very interested,Somewhat interested,Not very,Not at all,Not asked,No answer,Don't know
Argentina,"1,002",4.4,17.3,33.8,43.5,-,0.5,0.4
Australia,"1,421",13.7,43.6,30.7,11.2,-,0.8,-
Canada,"2,164",15.1,37.2,26.9,20.2,-,0.1,0.5
Chile,"1,000",5.1,16.8,27.2,50,-,0.6,0.3
China,"1,991",28.2,33.7,19.9,9.8,-,0.3,8.1
Colombia,"3,025",6.7,15.3,35.4,42.4,-,0.2,-
Georgia,"1,500",12.9,41.1,30.9,13.8,-,0.9,0.3
Germany,"2,064",21.3,40,24.9,13.2,-,0.6,-
India,"2,001",10.7,28.4,26.6,23.9,-,0.1,10.3
Iraq,"2,701",25,35.4,16.2,18.1,-,1.2,4.2
Japan,"1,096",14.2,49.2,29.8,5.3,-,1.5,-
Jordan,"1,200",8.1,31.4,26.8,33,-,0.8,-
South Korea,"1,200",3.4,37.7,43.9,14.7,-,0.2,-
Mexico,"1,560",8.5,24.9,34.2,31.5,-,0.5,0.4
Moldova,"1,046",7,30,43,19.7,-,-,0.3
Morocco,"1,200",7.6,23.6,28,34,-,6.8,-
New Zealand,954,12.8,42.1,34.7,8.1,-,1.9,0.4
Peru,"1,500",6.3,15.4,39.3,38.5,-,0.5,-
Poland,"1,000",5.1,34.9,34.8,24.5,-,0.1,0.6
Romania,"1,776",4.6,26.9,34.3,32.9,-,1,0.3
Russia,"2,033",6.7,31.4,40.2,19.8,0.1,0.5,1.2
South Africa,"2,988",16.6,27.4,31.3,23.8,-,-,0.9
Spain,"1,200",4.6,27.7,36.6,30.8,0.1,-,0.2
Sweden,"1,003",13.5,45.3,31.2,9,-,1,-
Turkey,"1,346",8.4,30,28.1,33.3,-,0.1,0.1
Egypt,"3,051",5.5,30.8,23.2,40.4,-,0.1,-
United States,"1,249",13.5,44.5,26.5,13.6,1.7,0.2,-
Uruguay,"1,000",11.6,24.8,23,39,-,1.6,-
Serbia and Montenegro,"1,220",5.5,25.2,35.8,27.5,-,5.1,0.9
