Country,Total,Very interested,Somewhat interested,Not very interested,Not at all interested,Inappropriate,No answer,Don't know
Argentina,"1,030",7.4,25,35.3,30.7,-,1.2,0.3
Australia,"1,477",15,37.9,29,17.4,-,0.8,-
Chile,"1,000",5.5,19.8,33.3,39.7,-,1.2,0.5
China,"2,300",10.8,34.7,32.3,20.2,-,2,-
Georgia,"1,202",6.9,31.8,32.1,29.2,-,-,-
Germany,"2,046",20.8,41.6,27.8,9.7,-,-,0.1
India,"1,581",18.6,42.6,25.9,12.8,-,-,-
Iraq,"1,200",8.3,38.2,33,18.7,-,-,1.8
Japan,"2,443",13.4,52.1,27.1,5.1,-,-,2.3
Jordan,"1,200",7.6,31.8,27.9,32.7,-,-,-
South Korea,"1,200",5,33.2,40.5,20.5,-,0.8,-
Mexico,"2,000",7.7,22.6,36.2,33.3,-,0.2,0
Morocco,"1,200",3.2,11.8,28.2,53.4,-,1.2,2.2
New Zealand,841,13.8,44.7,28.7,9.8,-,2.5,0.6
Nigeria,"1,759",24.5,32.1,26.4,17,-,-,-
Peru,"1,210",6.7,19.7,37.7,35.1,-,0.3,0.6
Philippines,"1,200",19.4,39.2,28.1,13.3,-,-,-
Poland,966,7,35.4,34.4,23,-,0.1,0.1
Romania,"1,503",8.6,28.2,32,30.8,-,0.2,0.2
Russia,"2,500",4.7,27.9,45,20.4,0.3,0.4,1.4
South Africa,"3,531",18.7,30.2,26.2,23.8,-,-,1.1
Spain,"1,189",3.6,26.5,38,31.6,-,0.3,-
Sweden,"1,206",15.4,42.2,30.6,11.8,-,-,-
Turkey,"1,605",8.7,42.4,30.5,17.4,-,0.4,0.6
Egypt,"1,523",33.8,40.6,15.9,9.7,-,-,-
United States,"2,232",17.6,41.3,25.6,14.7,-,0.9,-
Uruguay,"1,000",7.5,22.9,25,43.7,-,0.5,0.4
