Country,Not asked,Don't know,Base mean,Mean,Standard Deviation
Argentina,-,2,"-1,057",5.96,3.1
Australia,-,1.1,"-2,025",5.6,2.56
Chile,-,0.2,-998,5.21,2.87
China,-,2.2,"-1,467",5.04,3.15
Georgia,-,2.5,"-1,957",7.6,2.64
Germany,-,0.7,"-2,012",4.95,2.44
India,-,14.6,"-1,743",3.65,3.06
Japan,-,9.6,-953,5.45,2.16
South Korea,0.1,0.2,"-1,246",6.67,2.83
Mexico,-,2.4,"-2,307",5.88,2.81
Moldova,-,2.6,-958,7.03,3.01
Nigeria,2.7,0.1,"-1,942",6.78,3.14
Peru,-,4.4,"-1,158",6.63,3.2
Philippines,-,0.1,"-1,199",6,2.77
Poland,-,4.6,"-1,100",6.71,2.75
Romania,-,4.1,"-1,188",6.28,2.88
Russia,-,4.1,"-1,956",6.46,2.77
South Africa,-,1.4,"-2,892",5.06,3.32
Spain,-,2.3,"-1,183",5.56,2.8
Sweden,-,1.1,-998,5.92,2.17
Turkey,2.5,0.1,"-1,858",5.07,3.44
United States,-,3,"-1,495",5.44,2.69
Uruguay,-,3.1,-969,5.15,3.25
Serbia,-,2.2,"-1,252",5.12,3.1
Montenegro,-,2.5,-234,5.72,3.32
