Country,Inappropriate,No answer,StandardDeviation,Mean,Don't Know,Base Mean
Argentina,-,4.3,2.57,4.94,1.3,973
Australia,-,1.9,2.69,4.77,-,"1,449"
Armenia,-,-,3.2,5.84,1.8,"1,081"
Chile,-,0.4,2.49,3.5,1.2,984
China,-,4.8,2.75,4.45,1.6,"2,153"
Georgia,-,0.2,2.81,6.12,3.7,"1,156"
Germany,-,0.2,2.22,4.08,1.1,"2,019"
India,-,-,2.65,5.57,-,"1,581"
Iraq,-,0.2,2.73,5.31,2.3,"1,170"
Japan,-,-,2.16,5.2,9,"2,224"
Jordan,-,-,2.44,7.15,0.2,"1,197"
South Korea,-,0.1,2.47,6.45,-,"1,198"
Mexico,-,0.2,3.33,5.36,0.4,"1,986"
Morocco,-,7.9,3.11,5,20.6,858
New Zealand,-,4,2.7,5.16,2.7,784
Nigeria,-,-,2.45,6.44,-,"1,759"
Peru,-,1.1,2.91,5.76,3,"1,161"
Philippines,-,-,3.14,6.3,-,"1,200"
Poland,-,0.3,3.01,6.32,3.3,931
Romania,-,0.5,6.05,3.43,2.7,1454
Russia,1.6,0.5,3.37,2.57,5.1,2322
South Africa,-,-,6.09,2.72,2.5,3444
Spain,-,0.7,5.14,2.49,1.5,1164
Sweden,0.1,0.4,4.88,2.53,1.1,1186
Thailand,-,0.1,5.25,2.97,-,1199
Turkey,1.5,0.3,4.49,2.67,0.4,1570
Egypt,-,-,4.3,3.33,-,1523
United States,-,1.8,5.58,2.55,-,2191
Uruguay,-,1,5.11,2.92,3.8,952
